Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Water_Level_Indicator_PCB\Project Outputs for Water_Level_Indicator_PCB\Pick Place for Water_Level_Indicator_PCB.csv

========================================================================================================================
File Design Information:

Date:       06-07-26
Time:       14:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J1","TSW-108-08-G-S","TopLayer","FP-TSW-108-08-G-S-MFG","2845.000","3205.000","270","CONN HEADER VERT 8POS 2.54MM"
"R14","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4930.000","2250.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R13","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4920.000","2645.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R12","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3315.000","2665.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R11","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4915.000","2945.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R10","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3310.000","2830.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R9","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3315.000","2995.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R8","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4915.000","3240.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R7","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3315.000","3160.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R6","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4920.000","3545.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R5","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3315.000","3320.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R4","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3315.000","3495.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R3","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4910.000","3845.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R2","MFR-25FBF52-475R","TopLayer","RESA60-630X240","3310.000","3665.000","0","Axial Resistor, 475 Ohm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R1","MFR-25FBF52-221R","TopLayer","RESA60-630X240","4905.000","4165.000","0","Axial Resistor, 221 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"P1","S2B-XH-A(LF)(SN)","TopLayer","JST-S2B-XH-A(LF)(SN)_V","3220.000","4174.213","270","Male Header, Pitch 2.5 mm, 1 x 2 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"LS1","KPEG242","TopLayer","KINGS-KPEG242-2","3990.000","2475.000","0","Piezo Indicator, 4100 Hz, 3 to 16 V, -20 to 70 degC, 2-Pin THD, RoHS"
"IC1","ULN2003A","TopLayer","STM-DIP-16L","3895.000","3235.000","0","Seven Darlington Array, 50 V, 0.5 A, -40 to 85 degC, 16-Pin DIP, RoHS, Tube"
"D7","XLUR12D","TopLayer","FP-XLUR12D-MFG","4390.000","2255.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D6","XLUR12D","TopLayer","FP-XLUR12D-MFG","4410.000","2640.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D5","XLUR12D","TopLayer","FP-XLUR12D-MFG","4410.000","2945.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D4","XLUR12D","TopLayer","FP-XLUR12D-MFG","4410.000","3250.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D3","XLUR12D","TopLayer","FP-XLUR12D-MFG","4410.000","3545.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D2","XLUR12D","TopLayer","FP-XLUR12D-MFG","4410.000","3845.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"D1","XLUR12D","TopLayer","FP-XLUR12D-MFG","4405.000","4165.000","0","627nm Red LED; 5x8.6mm, Through-Hole Mount with Red Diffused Round Lamp"
"C1","ECA1HM101","TopLayer","CAPPR65-350-1150X800X1250","3590.000","4185.000","270","Aluminum Electrolytic Capacitor, 100 uF, +/- 20%, 50 V, -40 to 85 degC, 2-Pin THD, RoHS, Bulk"
